native_class,domains
VoidHunters,FORCE
acb,TEAM
afa,REPAIR
aib,BLUEPRINT|CHASSIS|COUNTERMEASURE|ENERGY|FIGHTER|GRAPPLE|LASER|MASS|MISSILE|MISSION|RELOAD|REPAIR|SHIELD|TEAM|THRUSTER
aj,REPAIR
anb,CHASSIS|INERTIA|MASS|VELOCITY
aqa,THRUSTER
asb,TEAM
bba,MISSION
bda,WORLD
bea,MISSION
bl,TEAM
boa,BLUEPRINT
bob,MISSION
bta,BLUEPRINT
cbb,CHASSIS|ENERGY|MISSILE|SHIELD|THRUSTER
cc,MISSION
cf,MISSION
clb,AIMARC|AIMSPEED|AUTOAIM|BLUEPRINT|COLLISION|COUNTERMEASURE|DAMAGE|DEBRIS|DOWNSHIFT|ENERGY|FIGHTER|FORCE|GRAPPLE|INERTIA|LASER|MASS|MISSILE|MISSION|PHYSICS|PROJECTILE|RELOAD|REPAIR|RESOURCE|SALVO|SHIELD|TEAM|TERRAIN|THRUSTER|TORPEDO|UPSHIFT|VELOCITY|WORLD
cma,TEAM
cqb,MISSION
dab,MISSION
deb,BLUEPRINT
dfa,GRAPPLE
dga,RELOAD|TEAM|WORLD
di,TEAM
dla,BLUEPRINT
dob,TEAM
dwa,TEAM
ee,BLUEPRINT
ena,MISSILE
et,MISSION
ev,CHASSIS|FIGHTER
fab,BLUEPRINT
fcb,COLLISION|DAMAGE|ENERGY|FIGHTER|LASER|MASS|MISSILE|PROJECTILE|RELOAD|REPAIR|SHIELD|THRUSTER
fdb,CHASSIS
ffb,TEAM
fha,BLUEPRINT
fia,RELOAD|TEAM
fma,RELOAD
fmb,MASS
fob,SHIELD
fq,FORCE
gh,REPAIR
gl,SHIELD
gla,GRAPPLE
gm,CHASSIS
gmb,MISSILE
grb,LASER
hkb,MISSION|WORLD
hla,REPAIR
hna,BLUEPRINT
hqb,FORCE
ic,ENERGY|SHIELD
ifa,ENERGY
ih,MISSION|TEAM
iia,MISSION
ika,MISSION|TEAM
imb,ENERGY|HARDPOINT|WORLD
iob,CHASSIS
ip,THRUSTER
ipa,BLUEPRINT
ir,BLUEPRINT
it,TEAM
iwa,BLUEPRINT
jl,TEAM
jo,BLUEPRINT
jpa,MISSION
jsb,MISSION|TEAM
kc,BLUEPRINT
kha,ENERGY|PROJECTILE
kj,DAMAGE
kk,FIGHTER
kl,SHIELD
kla,MISSILE
kma,TEAM
kmb,CHASSIS
kr,RELOAD
ks,TEAM
lbb,MISSION|TEAM
lib,MISSION
lja,GRAPPLE|RELOAD
llb,REPAIR
lrb,MISSION|TEAM
mb,BLUEPRINT|CHASSIS|ENERGY|REPAIR
mbb,BLUEPRINT
ml,GRAPPLE|HARDPOINT|THRUSTER
mua,SHIELD
nbb,DEBRIS
ne,THRUSTER
nva,MISSILE
oba,REPAIR
oe,SHIELD
ola,TEAM
om,MISSION|TEAM
orb,DEBRIS
pb,FIGHTER
pe,DEBRIS|MISSION|PROJECTILE|RESOURCE|TEAM|WORLD
pfa,CHASSIS
pfb,MISSION
pja,GRAPPLE
pl,RESOURCE
pob,MISSION
pra,BLUEPRINT
pu,FORCE
qb,AIMARC|AIMSPEED|AUTOAIM|COLLISION|COUNTERMEASURE|DAMAGE|DEBRIS|DOWNSHIFT|ENERGY|FIGHTER|FORCE|GRAPPLE|INERTIA|LASER|MASS|MISSILE|MISSION|PHYSICS|PROJECTILE|RELOAD|REPAIR|RESOURCE|SALVO|SHIELD|TEAM|TERRAIN|THRUSTER|TORPEDO|UPSHIFT|VELOCITY|WORLD
qd,REPAIR
qdb,MISSION
qeb,BLUEPRINT|TEAM
qh,GRAPPLE
qjb,RELOAD
qpa,MISSILE
rba,RESOURCE|TEAM
rdb,TEAM
rf,MISSILE
rh,TEAM
rsb,MISSION|WORLD
sg,BLUEPRINT|ENERGY|RELOAD|REPAIR|SALVO|SHIELD|TEAM
skb,MISSILE
ssa,FIGHTER
tab,TEAM
tfa,TEAM
tj,DAMAGE|PROJECTILE|TEAM
tl,CHASSIS
tt,MISSION
tw,BLUEPRINT
uca,BLUEPRINT|FORCE|HARDPOINT|MISSION|TEAM
ufb,CHASSIS
ug,AIMARC|AIMSPEED|AUTOAIM|BLUEPRINT|COLLISION|COUNTERMEASURE|DAMAGE|DEBRIS|DOWNSHIFT|ENERGY|FIGHTER|FORCE|GRAPPLE|INERTIA|LASER|MASS|MISSILE|MISSION|PHYSICS|PROJECTILE|RELOAD|REPAIR|RESOURCE|SALVO|SHIELD|TEAM|TERRAIN|THRUSTER|TORPEDO|UPSHIFT|VELOCITY|WORLD
uga,WORLD
uh,CHASSIS
uhb,GRAPPLE
una,MISSION
uoa,MISSION
up,TEAM
vba,MISSION
vj,FIGHTER
vm,BLUEPRINT
vn,THRUSTER
vob,CHASSIS
vp,MISSION|TEAM
vpa,MISSION
wda,TEAM
web,MISSION
wgb,CHASSIS
wm,MISSION
wna,RELOAD
wnb,BLUEPRINT
woa,LASER
wqb,CHASSIS|ENERGY|THRUSTER
ws,CHASSIS
