native_class,semantic_tokens
VoidHunters,network|ui
acb,ui
adc,audio|ui
ada,ui
adb,weapon|time|ui
ade,audio|ui
ad,mission|time|ui
adf,ui
aea,weapon|time|ui
ana,weapon|time|ui
anb,physics|time|ui
aqa,time|ui
asa,ui
asb,time|ui
atb,time|ui
aua,ui
avb,ui
bba,mission|time|ui
bca,ui
bda,mission|time|ui
bea,mission|time|ui
bfb,ui
bl,time|ui
boa,blueprint|mission|time|ui
bob,mission|time|ui
bpa,time|ui
bq,ui
bra,mission|time|ui
bta,mission|time|ui
cba,time|ui
cbb,time|energy|ui
cca,time|ui
ccb,ui
cc,mission|time|ui
cda,mission|time|ui
ce,time|ui
cf,mission|time|ui
cia,weapon|time|ui
clb,physics|weapon|mission|component|color|time|energy|blueprint|resource|network|audio|ui
cma,time|ui
cpa,time|ui
cra,ui
cqb,mission|time|ui
csa,ui
cta,ui
da,mission|time|ui
dab,mission|time|ui
dca,time|ui
deb,mission|time|ui
dfa,time|ui
dga,weapon|time|ui
dha,ui
di,mission|time|ui
dja,mission|time|ui
dla,blueprint|time|ui
dma,audio|ui
dob,time|ui
dq,ui
dt,mission|time|ui
dwa,time|ui
ea,time|ui
ea2,time|ui
eca,weapon|time|ui
eea,time|ui
eg,time|ui
eha,time|ui
eia,ui
eja,mission|time|ui
ena,mission|time|ui
et,mission|time|ui
ev,mission|time|ui
eza,ui
fab,blueprint|mission|time|ui
fcb,physics|weapon|mission|component|color|time|energy|blueprint|network|ui
fdb,time|ui
fea,audio|ui
ffb,time|ui
fha,mission|time|ui
fia,weapon|mission|time|ui
fja,weapon|time|ui
fma,weapon|time|ui
fmb,mass|time|ui
fna,time|energy|ui
fob,time|ui
fq,weapon|time|ui
gaa,weapon|time|ui
gba,time|ui
gda,ui
gha,time|ui
gja,time|ui
gla,time|ui
gma,ui
grb,time|ui
gta,ui
gvb,time|ui
hka,time|ui
hkb,mission|time|ui
hla,time|ui
hna,blueprint|mission|time|ui
hoa,time|ui
hqb,weapon|time|ui
ht,ui
ica,ui
icb,ui
ifa,energy|time|ui
ifb,time|ui
iga,audio|ui
ih,mission|time|ui
iia,mission|time|ui
ika,mission|time|ui
imb,physics|mission|component|color|time|energy|blueprint|ui
ioa,time|ui
iqa,time|ui
ira,blueprint|mission|time|ui
isb,ui
it,mission|time|ui
iwa,time|ui
jba,time|ui
jca,time|ui
je,time|ui
jga,weapon|time|ui
jha,time|ui
jla,mission|time|ui
jo,mission|time|ui
jpa,mission|time|ui
jqa,time|ui
jra,ui
jsa,time|ui
jsb,mission|time|ui
jta,time|ui
jtb,weapon|time|ui
jua,time|ui
kba,time|ui
kha,weapon|time|ui
kja,time|ui
kka,time|ui
kla,time|ui
kma,time|ui
kmb,time|ui
kqa,time|ui
kra,time|ui
ksa,time|ui
laa,weapon|time|ui
lab,time|ui
lb,ui
lbb,mission|time|ui
lib,mission|time|ui
lja,weapon|time|ui
llb,time|ui
lma,ui
lrb,mission|time|ui
lsa,time|ui
mba,time|ui
mbb,mission|time|ui
mca,time|ui
mfa,time|ui
mha,ui
mla,time|ui
mlb,time|ui
mm,mission|time|ui
mua,time|ui
nbb,physics|weapon|mission|component|time|blueprint|ui
ne,time|ui
nfb,ui
npa,ui
nva,weapon|time|ui
oba,time|ui
oca,ui
of,mission|time|ui
oga,ui
ola,time|ui
om,mission|time|ui
opa,time|ui
orb,physics|weapon|mission|component|time|ui
pb,fighter|time|ui
pe,physics|weapon|mission|component|resource|network|ui
pfa,time|ui
pfb,mission|time|ui
pga,time|ui
pja,time|ui
pla,time|ui
poa,mission|time|ui
pob,mission|time|ui
pra,time|ui
ps,time|ui
pt,mission|time|ui
pu,weapon|time|ui
qca,weapon|time|ui
qda,mission|time|ui
qdb,mission|time|ui
qha,time|ui
qjb,weapon|time|ui
qka,time|ui
qma,mission|time|ui
qpa,weapon|time|ui
qv,time|ui
rba,blueprint|mission|time|resource|ui
rdb,time|ui
re,time|ui
rla,mission|time|ui
rma,time|ui
rna,time|ui
rpa,time|ui
rqa,time|ui
rsa,time|ui
rsb,mission|time|ui
sba,time|ui
sfa,time|ui
sg,physics|weapon|mission|component|time|energy|blueprint|ui
skb,weapon|time|ui
slb,time|ui
sma,time|ui
sna,ui
soa,ui
spa,time|ui
ssa,fighter|time|ui
tab,time|ui
tca,time|ui
tdb,time|ui
tfa,time|ui
tj,weapon|mission|time|ui
tla,mass|time|ui
tta,time|ui
tw,blueprint|mission|time|ui
uca,physics|weapon|mission|component|color|time|energy|blueprint|resource|network|ui
ufb,time|ui
uga,physics|weapon|mission|component|color|time|energy|blueprint|resource|network|ui
uh,physics|time|ui
uhb,time|ui
una,mission|time|ui
uoa,mission|time|ui
up,time|ui
vba,mission|time|ui
vj,fighter|time|ui
vm,blueprint|time|ui
vna,time|ui
vob,time|ui
vpa,mission|time|ui
vp,mission|time|ui
vqb,time|ui
vua,time|ui
wgb,time|ui
wja,time|ui
wna,time|ui
wqb,physics|weapon|mission|component|time|energy|blueprint|ui
woa,weapon|time|ui
ws,time|ui
