key_index,configuration_key,native_holder,native_default_expression,resolved_default,source_status
0,NEBULA_PROXIMITY_FADE_DOWNSHIFT,kcb.o,5,5,DECL
1,USE_TRAILS,veb.b,1,1,ASSIGN
2,FIGHTER_VISION,vqa.k,1,1,DECL
3,SHIP_TO_SHIP_RAM_DAMAGE,bra.d,0,0,ASSIGN
4,TEAM_SELECTION_SPEEDUP,dcb.f,0,0,ASSIGN
5,FULL_MISSION_SET,nsa.o,0,0,DECL
6,WAIT_FOR_PLAYERS,qmb.p,1,1,DECL
7,KEEP_TEAM_COLOURS,qv.o,1,1,DECL
8,DEBRIS_COLLISION,gl.d,0,0,DECL
9,DEBRIS_PARTITIONED,hw.b,0,0,ASSIGN
10,DEBRIS_COLLISION_DAMAGE,ie.p,0,0,DECL
11,DEBRIS_PROJECTILE_COLLISION,voa.d,0,0,ASSIGN
12,DEBRIS_THROWABLE,oga.o,0,0,DECL
13,MISSILES_HIT_SOURCE_TEAM,as.d,0,0,ASSIGN
14,MISSILES_DAMAGE_SOURCE_TEAM,cva.o,0,0,DECL
15,GRAPPLING_HOOKS_DAMAGEABLE_BY_SOURCE_PLAYER,gba.r,0,0,ASSIGN
16,THRUSTER_BINDING_MOVE_AND_TURN_HAS_OPPOSITE_MOVE,pmb.p,1,1,ASSIGN
17,NEBULA_FADES_OUT_WHEN_CLOSE,dcb.d,1,1,ASSIGN
18,DEBRIS_FOUND_IN_PAIRS,qjb.d,1,1,DECL
19,FOG_OF_WAR_ON,rla.x,1,1,DECL
20,USE_MODELS,rma.b,0,0,DECL
21,INNATE_THRUSTERS,gra.o,1,1,DECL
22,THRUSTER_AUTOBALANCING,wqa.b,1,1,ASSIGN
23,BOTS,foa.p,0,0,DECL
24,DETACHMENT_MODE,bka.p,0,0,DECL
25,AUTOAIM,bnb.o,0,0,ASSIGN
26,SALVOAIM,fra.a,1,1,ASSIGN
27,FIXEDAIM,di.p,0,0,ASSIGN
28,ANGLESET,lrb.e,0,0,ASSIGN
29,SALVO_USES_ALL_ENERGY,ee.p,0,0,ASSIGN
30,SALVO_HOLDABLE,pca.m,1,1,ASSIGN
31,PEDROS_REPAIR_MODE,era.p,1,1,DECL
32,PEDROS_REPAIR_MODE_SWITCHTIME,oq.I,l * 1,50,ASSIGN
33,SHIP_PERSISTENCE,qrb.a,0,0,ASSIGN
34,DEBRIS_CARRY_OVER,mra.o,1,1,DECL
35,DEBRIS_CARRY_OVER_PERCENTAGE,js.s,50,50,ASSIGN
36,DEBRIS_SURVIVES,vc.p,1,1,DECL
37,CLIENT_SIDE_DRAGGING,ktb.q,1,1,DECL
38,SALVO_DAMAGE_MULTIPLIER,ed.o,1,1,DECL
39,SALVO_REPAIR_TIME_MULTIPLIER,lja.d,1,1,DECL
40,MP_SANDBOX_ENEMY_SPAWN_LIMIT,gda.d,0,0,ASSIGN
41,MAX_SHIP_SIZE,ue.a,200,200,DECL
42,FIGHTERS_PER_PLAYER_MAXIMUM,wk.a,20,20,ASSIGN
43,BURST_FIRE_MAX_ENERGY,jo.e,500,500,ASSIGN
44,BURST_FIRE_REGENERATION_RATE,sja.b,2,2,ASSIGN
45,BURST_FIRE_RELOAD,vdb.d,250,250,DECL
46,SHIP_SPAWN_INVULNERABILITY_TIME,oq.A,l * 10,500,ASSIGN
47,FOG_OF_WAR_SENSOR_RANGE,cab.p,524288,524288,DECL
48,THRUSTER_BINDING_BALANCE_THRESHOLD,us.f,8,8,DECL
49,COMPONENT_BREAKING_EXPLOSION_FORCE_MULTIPLIER,kmb.f,32768,32768,ASSIGN
50,PHYSICS_COLLISION_FORCE_MULTIPLIER,gkb.o,4096,4096,ASSIGN
51,PHYSICS_COLLISION_GRAPPLING_HOOK_FORCE_MULTIPLIER,sja.i,4096,4096,ASSIGN
52,PHYSICS_COLLISION_PHANTOM_FORCE_MULTIPLIER,nu.p,2048,2048,DECL
53,DEBRIS_DETACHMENT_FORCE_MULTIPLIER,wr.o,256,256,DECL
54,GRAPPLE_DEBRIS,seb.o,0,0,ASSIGN
55,DEBRIS_GRABBING_RANGE,gs.c,262144,262144,ASSIGN
56,DEBRIS_MAX,kva.g,512,512,DECL
57,MISSION_VOTES,sl.a,1,1,DECL
58,MUTATOR_VOTES,ena.q,3,3,DECL
59,MISSION_TIME_LIMIT,de.p,300,300,ASSIGN
60,ARMAGEDDON_TIMER_START,aea.b,600,600,ASSIGN
61,ARMAGEDDON_WARNING,wha.a,11,11,DECL
62,ARMAGEDDON_LENGTH,wkb.a,60,60,DECL
63,MISSION_TERRAIN_NEBULA_PROBABILITY,ku.c,1,1,DECL
64,MISSION_TERRAIN_ASTEROID_PROBABILITY,wj.o,5,5,ASSIGN
65,MISSION_TERRAIN_DEBRIS_PROBABILITY,apb.a,1,1,ASSIGN
66,MISSION_TERRAIN_SPACE_PROBABILITY,ltb.p,10,10,ASSIGN
67,MISSION_TERRAIN_VOTING_CHANCESTEP,cg.r,5,5,ASSIGN
68,MISSION_DEBRIS_DEFAULT_PROBABILITY,qqb.b,10,10,DECL
69,MISSION_DEBRIS_VOTING_CHANCESTEP,opb.o,25,25,ASSIGN
70,RESOURCE_NODE_CAPTURE_TIME,oq.G,10 * l,500,ASSIGN
71,MISSION_RESNET_RESOURCE_TICK_TIME,oq.v,3 * l,150,ASSIGN
72,MASS_DRIVER_RANDOMNESS,aea.a,0,0,ASSIGN
73,TORPEDO_RANDOMNESS,ioa.p,0,0,ASSIGN
74,LASER_RANDOMNESS,tea.b,0,0,DECL
75,BOMBLET_SPRAY_RANDOMNESS,ww.o,500,500,DECL
76,PHASED_ENERGY_BEAM_RANDOMNESS,qca.yb,0,0,DECL
77,SNIPER_CANNON_RANDOMNESS,itb.o,0,0,ASSIGN
78,MISSILE_LAUNCHER_RANDOMNESS,wda.s,0,0,ASSIGN
79,POINT_DEFENCE_LASER_RANDOMNESS,nob.p,0,0,ASSIGN
80,COUNTERMEASURE_LAUNCHER_RANDOMNESS,cp.f,0,0,ASSIGN
81,MASS_DRIVER_PROJECTILES,fd.p,1,1,DECL
82,LASER_PROJECTILES,kg.o,1,1,ASSIGN
83,BOMBLET_SPRAY_PROJECTILES,la.m,10,10,DECL
84,PHASED_ENERGY_BEAM_PROJECTILES,uab.b,1,1,DECL
85,TORPEDO_PROJECTILES,klb.p,1,1,ASSIGN
86,SNIPER_CANNON_PROJECTILES,fj.b,1,1,DECL
87,MISSILE_LAUNCHER_PROJECTILES,dca.o,1,1,ASSIGN
88,POINT_DEFENCE_LASER_PROJECTILES,qh.J,1,1,DECL
89,COUNTERMEASURE_LAUNCHER_PROJECTILES,r.k,1,1,ASSIGN
90,MASS_DRIVER_PROJECTILE_LIFE,oq.x,2 * l,100,ASSIGN
91,TORPEDO_PROJECTILE_LIFE,wob.o,500,500,DECL
92,BOMBLET_SPRAY_PROJECTILE_LIFE,gu.p,25,25,DECL
93,SNIPER_CANNON_PROJECTILE_LIFE,jt.p,50,50,DECL
94,MISSILE_LAUNCHER_PROJECTILE_LIFE,de.q,500,500,DECL
95,COUNTERMEASURE_LAUNCHER_PROJECTILE_LIFE,mq.j,100,100,DECL
96,DEFAULT_FIRING_LEEWAY,lob.b,256,256,DECL
97,SNIPER_CANNON_FIRING_LEEWAY,pt.o,64,64,DECL
98,MASS_DRIVER_FIRE_FORCE,adb.a,256,256,DECL
99,TORPEDO_FIRE_FORCE,cca.p,64,64,DECL
100,LASER_FIRE_FORCE,jga.a,256,256,DECL
101,BOMBLET_SPRAY_FIRE_FORCE,lr.p,256,256,ASSIGN
102,PHASED_ENERGY_BEAM_FIRE_FORCE,wja.b,32768,32768,ASSIGN
103,MACHINE_GUN_FIRE_FORCE,eca.e,16384,16384,ASSIGN
104,SNIPER_CANNON_FIRE_FORCE,ftb.o,1024,1024,DECL
105,MISSILE_LAUNCHER_FIRE_FORCE,ana.f,192,192,DECL
106,POINT_DEFENCE_LASER_FIRE_FORCE,mqa.s,131072,131072,DECL
107,COUNTERMEASURE_LAUNCHER_FIRE_FORCE,jj.o,192,192,DECL
108,MASS_DRIVER_RELOAD,ujb.h,20,20,DECL
109,TORPEDO_RELOAD,nca.o,200,200,DECL
110,LASER_RELOAD,vt.o,0,0,DECL
