native_class,domains,source_chars
VoidHunters,NETWORK|UI,1937
acb,UI,1293
adc,AUDIO|UI,2269
ada,UI,1286
adb,WEAPON|TIME|UI,10945
ade,AUDIO|UI,2731
ad,MISSION|TIME|UI,2575
adf,UI,1110
aea,WEAPON|TIME|UI,1159
ana,WEAPON|TIME|UI,1312
anb,PHYSICS|TIME|UI,16219
aqa,TIME|UI,1814
asa,UI,1118
asb,TIME|UI,1830
atb,TIME|UI,1690
aua,UI,1793
avb,UI,1811
bba,MISSION|TIME|UI,11532
bca,UI,1207
bda,MISSION|TIME|UI,946
bea,MISSION|TIME|UI,4659
bfb,UI,1496
bl,TIME|UI,1240
boa,BLUEPRINT|MISSION|TIME|UI,4115
bob,MISSION|TIME|UI,1746
bpa,TIME|UI,1768
bq,UI,2238
bra,MISSION|TIME|UI,4514
bta,MISSION|TIME|UI,4306
cba,TIME|UI,1179
cbb,TIME|ENERGY|UI,2248
cca,TIME|UI,2591
ccb,UI,1310
cc,MISSION|TIME|UI,1421
cda,MISSION|TIME|UI,1981
ce,TIME|UI,1390
cf,MISSION|TIME|UI,1202
cia,WEAPON|TIME|UI,1683
clb,PHYSICS|WEAPON|MISSION|COMPONENT|COLOR|SYMBOL|TIME|ENERGY|BLUEPRINT|RESOURCE|NETWORK|AUDIO|UI,10526
cma,TIME|UI,1111
cpa,TIME|UI,1311
cra,UI,2126
cqb,MISSION|TIME|UI,1927
csa,UI,1191
cta,UI,1282
da,MISSION|TIME|UI,1519
dab,MISSION|TIME|UI,1220
dca,TIME|UI,2321
deb,MISSION|TIME|UI,1269
dfa,TIME|UI,1573
dga,WEAPON|TIME|UI,2016
dha,UI,1117
di,MISSION|TIME|UI,1256
dja,MISSION|TIME|UI,1659
dla,BLUEPRINT|TIME|UI,3246
dma,AUDIO|UI,1359
dob,TIME|UI,1252
dq,UI,1220
dt,MISSION|TIME|UI,1190
dwa,TIME|UI,1272
ea,TIME|UI,1256
ea2,TIME|UI,1182
eca,WEAPON|TIME|UI,1893
eea,TIME|UI,1321
eg,TIME|UI,1389
eha,TIME|UI,1535
eia,UI,1264
eja,MISSION|TIME|UI,3105
ena,MISSION|TIME|UI,1452
et,MISSION|TIME|UI,1698
ev,MISSION|TIME|UI,2170
eza,UI,1333
fab,BLUEPRINT|MISSION|TIME|UI,1351
fcb,PHYSICS|WEAPON|MISSION|COLOR|SYMBOL|TIME|ENERGY|BLUEPRINT|NETWORK|UI,10357
fdb,TIME|UI,1681
fea,AUDIO|UI,1316
ffb,TIME|UI,1234
fha,MISSION|TIME|UI,1394
fia,WEAPON|MISSION|TIME|UI,2234
fja,WEAPON|TIME|UI,1167
fma,WEAPON|TIME|UI,1754
fmb,MASS|TIME|UI,1489
fna,TIME|ENERGY|UI,1391
fob,TIME|UI,1672
fq,WEAPON|TIME|UI,1337
gaa,WEAPON|TIME|UI,1342
gba,TIME|UI,1230
gda,UI,1200
gha,TIME|UI,1335
gja,TIME|UI,1309
gla,TIME|UI,1229
gma,UI,1312
grb,TIME|UI,1550
gta,UI,1316
gvb,TIME|UI,1182
hka,TIME|UI,1287
hkb,MISSION|TIME|UI,1310
hla,TIME|UI,1460
hna,BLUEPRINT|MISSION|TIME|UI,4562
hoa,TIME|UI,1270
hqb,WEAPON|TIME|UI,1343
ht,UI,1221
ica,UI,1410
icb,UI,1288
ifa,ENERGY|TIME|UI,1306
ifb,TIME|UI,1219
iga,AUDIO|UI,1153
ih,MISSION|TIME|UI,1384
iia,MISSION|TIME|UI,1297
ika,MISSION|TIME|UI,1400
imb,PHYSICS|MISSION|COMPONENT|COLOR|SYMBOL|TIME|ENERGY|BLUEPRINT|UI,3645
ioa,TIME|UI,1250
iqa,TIME|UI,1276
ira,BLUEPRINT|MISSION|TIME|UI,1200
isb,UI,1276
it,MISSION|TIME|UI,1270
iwa,TIME|UI,1257
