symbol_or_expression,occurrences,source_notes
(),1,03_NETWORK_RPC_MANIFEST.md
"(x,y)",1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
-1,1,01_GAME_STRUCTURE_INVENTORY.md
"-100 + random[0,199]",1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
-100.0 .. 2147483648.0,1,DEFINITIVE_VALUES/JAR_CENSUS.md
-1843231949,1,00_DEFINITIVE_ORIGINAL_JAR.md
-1=#D72828,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
-2,1,01_GAME_STRUCTURE_INVENTORY.md
-2048,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
-2147483648 .. 2147483647,1,DEFINITIVE_VALUES/JAR_CENSUS.md
-2=#2849D7,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
-3,1,01_GAME_STRUCTURE_INVENTORY.md
-3.141592653589793 .. 16777216.0,1,DEFINITIVE_VALUES/JAR_CENSUS.md
-3=#D77628,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
-4096 .. +4095,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
.class,4,01_GAME_STRUCTURE_INVENTORY.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/full_jar_semantic_census.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md
/VOIDA/voidhunters_decompiled_raw.zip,1,00_RAW_FORENSIC_REFERENCE.md
0..55,1,DEFINITIVE_VALUES/README.md
0.35,1,02_BASELINE_GAMEPLAY_LOOP.md
00_DEFINITIVE_ORIGINAL_JAR.md,1,00_SOURCE_INDEX.md
00_RAW_FORENSIC_REFERENCE.md,1,00_SOURCE_INDEX.md
00_SOURCE_INDEX.md,1,00_DEFINITIVE_ORIGINAL_JAR.md
04_DIRECTIVES_AND_CHANGELOG.md,1,00_SOURCE_INDEX.md
1.00,1,02_BASELINE_GAMEPLAY_LOOP.md
1.2,1,02_BASELINE_GAMEPLAY_LOOP.md
1.50,1,02_BASELINE_GAMEPLAY_LOOP.md
10.0,1,02_BASELINE_GAMEPLAY_LOOP.md
100.0,1,02_BASELINE_GAMEPLAY_LOOP.md
15.0,2,02_BASELINE_GAMEPLAY_LOOP.md
16.0,1,02_BASELINE_GAMEPLAY_LOOP.md
180.0,1,02_BASELINE_GAMEPLAY_LOOP.md
19_RAW_PHYSICS_OPERATOR_RECOVERY.md,1,00_SOURCE_INDEX.md
21_NATIVE_DEBRIS_LAUNCH_MAPPING.md,1,00_SOURCE_INDEX.md
22_MISSION_FRAMEWORK_MIGRATION.md,1,00_SOURCE_INDEX.md
235_NATIVE_DEFAULTS_ATTESTATION.md,3,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md
24.0,1,02_BASELINE_GAMEPLAY_LOOP.md
26_COMPONENT_DEFINITION_VALIDATION.md,1,00_SOURCE_INDEX.md
29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md,1,00_SOURCE_INDEX.md
3.1.2,1,00_DEFINITIVE_ORIGINAL_JAR.md
3.5,1,02_BASELINE_GAMEPLAY_LOOP.md
30_BLOCKED_SHIELD_FORENSICS.md,1,00_SOURCE_INDEX.md
30_NATIVE_THRUSTER_BINDING_RECOVERY.md,1,00_SOURCE_INDEX.md
31_COMPONENT_56_SLOT_RECONCILIATION.md,1,00_SOURCE_INDEX.md
33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md,1,00_SOURCE_INDEX.md
34_NATIVE_WEAPON_PARAMETER_CONTRACT.md,1,00_SOURCE_INDEX.md
35_JAR_BYTECODE_PHYSICS_VERIFICATION.md,1,00_SOURCE_INDEX.md
3=#DCDCDC,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
4=#D728AC,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
5=#49D728,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
6=#8F28D7,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
7.2,1,02_BASELINE_GAMEPLAY_LOOP.md
>> 8,3,30_NATIVE_THRUSTER_BINDING_RECOVERY.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
[ALTERORB_BEHAVIOR_VERIFIED],2,01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
[ASSET_VERIFIED],2,01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
[CODE_VERIFIED],18,00_FORENSIC_ENGINEER_BLUEPRINT.md; 01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
[DOCUMENTATION_ONLY],2,01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
[INFERRED],3,01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
[ORIGINAL_DATA_VERIFIED],2,01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
[UNKNOWN],2,01_GAME_STRUCTURE_INVENTORY.md; 04_DIRECTIVES_AND_CHANGELOG.md
a,1,01_GAME_STRUCTURE_INVENTORY.md
a = 4,1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
a(true),1,DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md
Add complete Void Hunters JAR literal/value census,1,DEFINITIVE_VALUES/JAR_CENSUS.md
Add consolidated full-JAR native analysis and handoff,1,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
AGENTS.md,6,00_FORENSIC_ENGINEER_BLUEPRINT.md; 04_DIRECTIVES_AND_CHANGELOG.md; 10_ROBLOX_LUAU_REFERENCE.md
AlignOrientation,2,10_ROBLOX_LUAU_REFERENCE.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
all.txt,5,ORIGINAL_JAR/PREPROCESSING_01_06/DECOMPILER_HANDOFF.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md; ORIGINAL_JAR/PREPROCESSING_01_06/README.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
anb,16,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
anb.a,4,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
anb.a(...),1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
"anb.a(int n2, int n3, int n4, byte by, int n5)",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"anb.a(int,int,int,byte,int)",1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
anb.b,3,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
"anb.b(int n2, int n3)",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
"anb.b(int,int)",2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
anb.e,2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
anb.e(byte),2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
anb.EA,3,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.EA(...),1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.f,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.f/h,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.java,10,00_RAW_FORENSIC_REFERENCE.md; 01_GAME_STRUCTURE_INVENTORY.md; 19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
anb.KB,3,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.KB(...),1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.n,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.o,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb.o/t/p,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb2 != null,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb2.f,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb2.h,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
