# Current canonical subsystem view. Values originate from NATIVE_ENGINE_INPUTS.csv; do not edit independently.
configuration_key,native_holder,native_default_expression,resolved_default,source_status,implementation_role
GRAPPLING_HOOKS_DAMAGEABLE_BY_SOURCE_PLAYER,gba.r,0,0,ASSIGN,DAMAGE_GAMEPLAY_INPUT
PHYSICS_COLLISION_GRAPPLING_HOOK_FORCE_MULTIPLIER,sja.i,4096,4096,ASSIGN,GAMEPLAY_INPUT
GRAPPLE_DEBRIS,seb.o,0,0,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_AIMSPEED,ldb.q,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
GRAPPLING_HOOK_AIMARC,dla.c,1024,1024,ASSIGN,WEAPON_TIMING/AIM_INPUT
GRAPPLING_HOOK_MAX_LENGTH,bia.c,65000,65000,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_MIN_LENGTH,ls.r,128,128,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_FIRE_FORCE,joa.a,1600,1600,ASSIGN,GAMEPLAY_INPUT
GRAPPLING_HOOK_SPRING_CONSTANT,uua.o,1000,1000,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_MAX_EXTENSION8_FORCE,nra.b,1024,1024,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_COOLDOWN,oq.t,l,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
GRAPPLING_HOOK_ROPE_CHANGE_RATE,ds.d,4000,4000,DECL,GAMEPLAY_INPUT
GRAPPLING_HOOK_ROPE_BREAK_LENGTH,bhb.i,131072,131072,ASSIGN,GAMEPLAY_INPUT
