configuration_key,native_holder,native_default_expression,resolved_default,source_status,implementation_role
SHIP_TO_SHIP_RAM_DAMAGE,bra.d,0,0,ASSIGN,DAMAGE_GAMEPLAY_INPUT
DEBRIS_COLLISION,gl.d,0,0,DECL,GAMEPLAY_INPUT
DEBRIS_PARTITIONED,hw.b,0,0,ASSIGN,GAMEPLAY_INPUT
DEBRIS_COLLISION_DAMAGE,ie.p,0,0,DECL,DAMAGE_GAMEPLAY_INPUT
DEBRIS_PROJECTILE_COLLISION,voa.d,0,0,ASSIGN,GAMEPLAY_INPUT
DEBRIS_THROWABLE,oga.o,0,0,DECL,GAMEPLAY_INPUT
MISSILES_HIT_SOURCE_TEAM,as.d,0,0,ASSIGN,GAMEPLAY_INPUT
MISSILES_DAMAGE_SOURCE_TEAM,cva.o,0,0,DECL,DAMAGE_GAMEPLAY_INPUT
GRAPPLING_HOOKS_DAMAGEABLE_BY_SOURCE_PLAYER,gba.r,0,0,ASSIGN,DAMAGE_GAMEPLAY_INPUT
THRUSTER_BINDING_MOVE_AND_TURN_HAS_OPPOSITE_MOVE,pmb.p,1,1,ASSIGN,GAMEPLAY_INPUT
DEBRIS_FOUND_IN_PAIRS,qjb.d,1,1,DECL,GAMEPLAY_INPUT
INNATE_THRUSTERS,gra.o,1,1,DECL,GAMEPLAY_INPUT
THRUSTER_AUTOBALANCING,wqa.b,1,1,ASSIGN,GAMEPLAY_INPUT
AUTOAIM,bnb.o,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SALVOAIM,fra.a,1,1,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIXEDAIM,di.p,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SALVO_USES_ALL_ENERGY,ee.p,0,0,ASSIGN,RESOURCE_GAMEPLAY_INPUT
PEDROS_REPAIR_MODE,era.p,1,1,DECL,GAMEPLAY_INPUT
PEDROS_REPAIR_MODE_SWITCHTIME,oq.I,l * 1,50,ASSIGN,GAMEPLAY_INPUT
DEBRIS_CARRY_OVER,mra.o,1,1,DECL,GAMEPLAY_INPUT
DEBRIS_CARRY_OVER_PERCENTAGE,js.s,50,50,ASSIGN,GAMEPLAY_INPUT
DEBRIS_SURVIVES,vc.p,1,1,DECL,GAMEPLAY_INPUT
SALVO_DAMAGE_MULTIPLIER,ed.o,1,1,DECL,DAMAGE_GAMEPLAY_INPUT
SALVO_REPAIR_TIME_MULTIPLIER,lja.d,1,1,DECL,GAMEPLAY_INPUT
MAX_SHIP_SIZE,ue.a,200,200,DECL,GAMEPLAY_INPUT
FIGHTERS_PER_PLAYER_MAXIMUM,wk.a,20,20,ASSIGN,GAMEPLAY_INPUT
BURST_FIRE_MAX_ENERGY,jo.e,500,500,ASSIGN,RESOURCE_GAMEPLAY_INPUT
BURST_FIRE_RELOAD,vdb.d,250,250,DECL,WEAPON_TIMING/AIM_INPUT
THRUSTER_BINDING_BALANCE_THRESHOLD,us.f,8,8,DECL,GAMEPLAY_INPUT
COMPONENT_BREAKING_EXPLOSION_FORCE_MULTIPLIER,kmb.f,32768,32768,ASSIGN,GAMEPLAY_INPUT
PHYSICS_COLLISION_FORCE_MULTIPLIER,gkb.o,4096,4096,ASSIGN,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
PHYSICS_COLLISION_GRAPPLING_HOOK_FORCE_MULTIPLIER,sja.i,4096,4096,ASSIGN,GAMEPLAY_INPUT
PHYSICS_COLLISION_PHANTOM_FORCE_MULTIPLIER,nu.p,2048,2048,DECL,GAMEPLAY_INPUT
DEBRIS_DETACHMENT_FORCE_MULTIPLIER,wr.o,256,256,DECL,GAMEPLAY_INPUT
GRAPPLE_DEBRIS,seb.o,0,0,ASSIGN,GAMEPLAY_INPUT
DEBRIS_GRABBING_RANGE,gs.c,262144,262144,ASSIGN,GAMEPLAY_INPUT
DEBRIS_MAX,kva.g,512,512,DECL,GAMEPLAY_INPUT
ARMAGEDDON_LENGTH,wkb.a,60,60,DECL,GAMEPLAY_INPUT
MISSION_TERRAIN_DEBRIS_PROBABILITY,apb.a,1,1,ASSIGN,GAMEPLAY_INPUT
MISSION_DEBRIS_DEFAULT_PROBABILITY,qqb.b,10,10,DECL,GAMEPLAY_INPUT
MISSION_DEBRIS_VOTING_CHANCESTEP,opb.o,25,25,ASSIGN,GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_RANDOMNESS,qca.yb,0,0,DECL,RESOURCE_GAMEPLAY_INPUT
MISSILE_LAUNCHER_RANDOMNESS,wda.s,0,0,ASSIGN,GAMEPLAY_INPUT
MASS_DRIVER_PROJECTILES,fd.p,1,1,DECL,GAMEPLAY_INPUT
LASER_PROJECTILES,kg.o,1,1,ASSIGN,GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILES,la.m,10,10,DECL,GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_PROJECTILES,uab.b,1,1,DECL,RESOURCE_GAMEPLAY_INPUT
TORPEDO_PROJECTILES,klb.p,1,1,ASSIGN,GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILES,fj.b,1,1,DECL,GAMEPLAY_INPUT
MISSILE_LAUNCHER_PROJECTILES,dca.o,1,1,ASSIGN,GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILES,qh.J,1,1,DECL,GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_PROJECTILES,r.k,1,1,ASSIGN,GAMEPLAY_INPUT
MASS_DRIVER_PROJECTILE_LIFE,oq.x,2 * l,100,ASSIGN,GAMEPLAY_INPUT
TORPEDO_PROJECTILE_LIFE,wob.o,500,500,DECL,GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILE_LIFE,gu.p,25,25,DECL,GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILE_LIFE,jt.p,50,50,DECL,GAMEPLAY_INPUT
MISSILE_LAUNCHER_PROJECTILE_LIFE,de.q,500,500,DECL,GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_PROJECTILE_LIFE,mq.j,100,100,DECL,GAMEPLAY_INPUT
DEFAULT_FIRING_LEEWAY,lob.b,256,256,DECL,GAMEPLAY_INPUT
SNIPER_CANNON_FIRING_LEEWAY,pt.o,64,64,DECL,GAMEPLAY_INPUT
MASS_DRIVER_FIRE_FORCE,adb.a,256,256,DECL,GAMEPLAY_INPUT
TORPEDO_FIRE_FORCE,cca.p,64,64,DECL,GAMEPLAY_INPUT
LASER_FIRE_FORCE,jga.a,256,256,DECL,GAMEPLAY_INPUT
BOMBLET_SPRAY_FIRE_FORCE,lr.p,256,256,ASSIGN,GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_FIRE_FORCE,wja.b,32768,32768,ASSIGN,RESOURCE_GAMEPLAY_INPUT
MACHINE_GUN_FIRE_FORCE,eca.e,16384,16384,ASSIGN,GAMEPLAY_INPUT
SNIPER_CANNON_FIRE_FORCE,ftb.o,1024,1024,DECL,GAMEPLAY_INPUT
MISSILE_LAUNCHER_FIRE_FORCE,ana.f,192,192,DECL,GAMEPLAY_INPUT
POINT_DEFENCE_LASER_FIRE_FORCE,mqa.s,131072,131072,DECL,GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_FIRE_FORCE,jj.o,192,192,DECL,GAMEPLAY_INPUT
MASS_DRIVER_RELOAD,ujb.h,20,20,DECL,WEAPON_TIMING/AIM_INPUT
TORPEDO_RELOAD,nca.o,200,200,DECL,WEAPON_TIMING/AIM_INPUT
LASER_RELOAD,vt.o,0,0,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_RELOAD,tta.p,50,50,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_RELOAD,bba.a,50,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
MACHINE_GUN_RELOAD,brb.o,30,30,DECL,WEAPON_TIMING/AIM_INPUT
SNIPER_CANNON_RELOAD,qea.q,100,100,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIGHTER_BAY_RELOAD,qaa.b,1500,1500,DECL,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_RELOAD,fja.o,50,50,ASSIGN,WEAPON_TIMING/AIM_INPUT
MASS_DRIVER_AIMSPEED,qca.wb,64,64,DECL,WEAPON_TIMING/AIM_INPUT
TORPEDO_AIMSPEED,bma.n,16,16,DECL,WEAPON_TIMING/AIM_INPUT
LASER_AIMSPEED,uda.b,8,8,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIGHTER_BAY_AIMSPEED,df.p,0,0,DECL,WEAPON_TIMING/AIM_INPUT
SPINNING_BLADE_AIMSPEED,mp.o,0,0,DECL,WEAPON_TIMING/AIM_INPUT
SNIPER_CANNON_AIMSPEED,nnb.e,4,4,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_AIMSPEED,dfa.a,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_AIMSPEED,bn.a,128,128,DECL,WEAPON_TIMING/AIM_INPUT
MACHINE_GUN_AIMSPEED,dr.a,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
GRAPPLING_HOOK_AIMSPEED,ldb.q,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
MISSILE_LAUNCHER_AIMSPEED,rta.p,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_AIMSPEED,asa.e,128,128,ASSIGN,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURE_LAUNCHER_AIMSPEED,ava.a,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
MASS_DRIVER_AIMARC,sib.i,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
TORPEDO_AIMARC,mmb.i,512,512,ASSIGN,WEAPON_TIMING/AIM_INPUT
LASER_AIMARC,fua.q,1024,1024,ASSIGN,WEAPON_TIMING/AIM_INPUT
FIGHTER_BAY_AIMARC,wkb.b,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SPINNING_BLADE_AIMARC,qea.o,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
SNIPER_CANNON_AIMARC,cha.p,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
BOMBLET_SPRAY_AIMARC,cia.a,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_AIMARC,qab.d,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
MACHINE_GUN_AIMARC,gtb.c,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
GRAPPLING_HOOK_AIMARC,dla.c,1024,1024,ASSIGN,WEAPON_TIMING/AIM_INPUT
MISSILE_LAUNCHER_AIMARC,khb.c,0,0,DECL,WEAPON_TIMING/AIM_INPUT
POINT_DEFENCE_LASER_AIMARC,ljb.o,1024,1024,DECL,WEAPON_TIMING/AIM_INPUT
COUNTERMEASURE_LAUNCHER_AIMARC,rlb.e,0,0,ASSIGN,WEAPON_TIMING/AIM_INPUT
MASS_DRIVER_PROJECTILE_DAMAGE,ls.p,1280,1280,DECL,DAMAGE_GAMEPLAY_INPUT
TORPEDO_PROJECTILE_DAMAGE,voa.b,1280,1280,ASSIGN,DAMAGE_GAMEPLAY_INPUT
LASER_BEAM_PROJECTILE_DAMAGE,hrb.a,92,92,ASSIGN,DAMAGE_GAMEPLAY_INPUT
MACHINE_GUN_PROJECTILE_DAMAGE,coa.f,64,64,ASSIGN,DAMAGE_GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILE_DAMAGE,jtb.m,2560,2560,DECL,DAMAGE_GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILE_DAMAGE,mtb.o,320,320,ASSIGN,DAMAGE_GAMEPLAY_INPUT
EXPLOSION_PROJECTILE_DAMAGE,pea.a,1280,1280,DECL,DAMAGE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILE_DAMAGE,uh.q,64,64,ASSIGN,DAMAGE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILE_INTERCEPT_DAMAGE,ooa.xb,8,8,DECL,DAMAGE_GAMEPLAY_INPUT
MASS_DRIVER_PROJECTILE_ONDAMAGE_PARTICLES,ehb.e,5,5,ASSIGN,DAMAGE_GAMEPLAY_INPUT
TORPEDO_PROJECTILE_ONDAMAGE_PARTICLES,mc.u,5,5,DECL,DAMAGE_GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_PROJECTILE_ONDAMAGE_PARTICLES,pea.b,1,1,DECL,RESOURCE_GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILE_ONDAMAGE_PARTICLES,gaa.p,10,10,ASSIGN,DAMAGE_GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILE_ONDAMAGE_PARTICLES,km.o,5,5,DECL,DAMAGE_GAMEPLAY_INPUT
EXPLOSION_PROJECTILE_ONDAMAGE_PARTICLES,fmb.r,0,0,ASSIGN,DAMAGE_GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILE_ONDAMAGE_PARTICLES,osb.b,1,1,DECL,DAMAGE_GAMEPLAY_INPUT
MASS_DRIVER_ENERGY_USED,sbb.p,10,10,DECL,RESOURCE_GAMEPLAY_INPUT
TORPEDO_ENERGY_USED,qra.o,50,50,DECL,RESOURCE_GAMEPLAY_INPUT
LASER_ENERGY_USED,ffa.b,50,50,ASSIGN,RESOURCE_GAMEPLAY_INPUT
BOMBLET_SPRAY_ENERGY_USED,rn.o,50,50,DECL,RESOURCE_GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_ENERGY_USED,bv.e,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
MACHINE_GUN_ENERGY_USED,mmb.g,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
SNIPER_CANNON_ENERGY_USED,spa.a,50,50,DECL,RESOURCE_GAMEPLAY_INPUT
MISSILE_LAUNCHER_ENERGY_USED,awa.q,2,2,ASSIGN,RESOURCE_GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_ENERGY_USED,m.p,2,2,DECL,RESOURCE_GAMEPLAY_INPUT
