# Current canonical subsystem view. Values originate from NATIVE_ENGINE_INPUTS.csv; do not edit independently.
configuration_key,native_holder,native_default_expression,resolved_default,source_status,implementation_role
THRUSTER_BINDING_MOVE_AND_TURN_HAS_OPPOSITE_MOVE,pmb.p,1,1,ASSIGN,GAMEPLAY_INPUT
INNATE_THRUSTERS,gra.o,1,1,DECL,GAMEPLAY_INPUT
THRUSTER_AUTOBALANCING,wqa.b,1,1,ASSIGN,GAMEPLAY_INPUT
THRUSTER_BINDING_BALANCE_THRESHOLD,us.f,8,8,DECL,GAMEPLAY_INPUT
THRUSTER_FORCE,pwa.b,192,192,DECL,GAMEPLAY_INPUT
THRUSTER_BOOSTER_FORCE,enb.c,1024,1024,ASSIGN,GAMEPLAY_INPUT
THRUSTER_SMALL_FORCE,clb.a,16,16,DECL,GAMEPLAY_INPUT
VELOCITY_SUSTAIN,ibb.a,508,508,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
VELOCITY_SUSTAIN_MAX,fna.o,512,512,ASSIGN,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
ANGULAR_VELOCITY_SUSTAIN,nu.q,234,234,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
THRUSTER_PARTICLE_SPEED_DOWNSHIFT,ina.p,5,5,DECL,GAMEPLAY_INPUT
THRUSTER_PARTICLE_LIFE,slb.a,4,4,DECL,GAMEPLAY_INPUT
ANGULAR_VELOCITY_SUSTAIN_MAX,gbb.o,256,256,DECL,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE
BOOSTERS_COOLDOWN,oq.g,l * 20,1000,ASSIGN,WEAPON_TIMING/AIM_INPUT
BOOSTERS_ACTIVE_TIME,oq.p,10 * l,500,ASSIGN,GAMEPLAY_INPUT
