# Current canonical subsystem view. Values originate from NATIVE_ENGINE_INPUTS.csv; do not edit independently.
configuration_key,native_holder,native_default_expression,resolved_default,source_status,implementation_role
DEBRIS_PROJECTILE_COLLISION,voa.d,0,0,ASSIGN,GAMEPLAY_INPUT
MISSILES_HIT_SOURCE_TEAM,as.d,0,0,ASSIGN,GAMEPLAY_INPUT
MISSILES_DAMAGE_SOURCE_TEAM,cva.o,0,0,DECL,DAMAGE_GAMEPLAY_INPUT
BURST_FIRE_RELOAD,vdb.d,250,250,DECL,WEAPON_TIMING/AIM_INPUT
PHASED_ENERGY_BEAM_RANDOMNESS,qca.yb,0,0,DECL,RESOURCE_GAMEPLAY_INPUT
MISSILE_LAUNCHER_RANDOMNESS,wda.s,0,0,ASSIGN,GAMEPLAY_INPUT
MASS_DRIVER_PROJECTILES,fd.p,1,1,DECL,GAMEPLAY_INPUT
LASER_PROJECTILES,kg.o,1,1,ASSIGN,GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILES,la.m,10,10,DECL,GAMEPLAY_INPUT
PHASED_ENERGY_BEAM_PROJECTILES,uab.b,1,1,DECL,RESOURCE_GAMEPLAY_INPUT
TORPEDO_PROJECTILES,klb.p,1,1,ASSIGN,GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILES,fj.b,1,1,DECL,GAMEPLAY_INPUT
MISSILE_LAUNCHER_PROJECTILES,dca.o,1,1,ASSIGN,GAMEPLAY_INPUT
POINT_DEFENCE_LASER_PROJECTILES,qh.J,1,1,DECL,GAMEPLAY_INPUT
COUNTERMEASURE_LAUNCHER_PROJECTILES,r.k,1,1,ASSIGN,GAMEPLAY_INPUT
MASS_DRIVER_PROJECTILE_LIFE,oq.x,2 * l,100,ASSIGN,GAMEPLAY_INPUT
TORPEDO_PROJECTILE_LIFE,wob.o,500,500,DECL,GAMEPLAY_INPUT
BOMBLET_SPRAY_PROJECTILE_LIFE,gu.p,25,25,DECL,GAMEPLAY_INPUT
SNIPER_CANNON_PROJECTILE_LIFE,jt.p,50,50,DECL,GAMEPLAY_INPUT
MISSILE_LAUNCHER_PROJECTILE_LIFE,de.q,500,500,DECL,GAMEPLAY_INPUT
