canonical_key,native_holder,native_expression,resolved_value,implementation_role,current_evidence_status,current_port_status
SHIP_TO_SHIP_RAM_DAMAGE,bra.d,0,0,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_COLLISION,gl.d,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_PARTITIONED,hw.b,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_COLLISION_DAMAGE,ie.p,0,0,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_PROJECTILE_COLLISION,voa.d,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_THROWABLE,oga.o,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILES_HIT_SOURCE_TEAM,as.d,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILES_DAMAGE_SOURCE_TEAM,cva.o,0,0,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLING_HOOKS_DAMAGEABLE_BY_SOURCE_PLAYER,gba.r,0,0,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_BINDING_MOVE_AND_TURN_HAS_OPPOSITE_MOVE,pmb.p,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_FOUND_IN_PAIRS,qjb.d,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
INNATE_THRUSTERS,gra.o,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_AUTOBALANCING,wqa.b,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
AUTOAIM,bnb.o,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SALVOAIM,fra.a,1,1,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
FIXEDAIM,di.p,0,0,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
SALVO_USES_ALL_ENERGY,ee.p,0,0,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PEDROS_REPAIR_MODE,era.p,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PEDROS_REPAIR_MODE_SWITCHTIME,oq.I,l * 1,50,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_CARRY_OVER,mra.o,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_CARRY_OVER_PERCENTAGE,js.s,50,50,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_SURVIVES,vc.p,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SALVO_DAMAGE_MULTIPLIER,ed.o,1,1,DAMAGE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SALVO_REPAIR_TIME_MULTIPLIER,lja.d,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MAX_SHIP_SIZE,ue.a,200,200,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
FIGHTERS_PER_PLAYER_MAXIMUM,wk.a,20,20,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BURST_FIRE_MAX_ENERGY,jo.e,500,500,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BURST_FIRE_RELOAD,vdb.d,250,250,WEAPON_TIMING/AIM_INPUT,EXTRACTED,REQUIRED_INPUT
THRUSTER_BINDING_BALANCE_THRESHOLD,us.f,8,8,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
COMPONENT_BREAKING_EXPLOSION_FORCE_MULTIPLIER,kmb.f,32768,32768,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHYSICS_COLLISION_FORCE_MULTIPLIER,gkb.o,4096,4096,ENGINE_BOUNDARY_INPUT_OR_NATIVE_OPERATOR_REFERENCE,EXTRACTED,REQUIRED_INPUT
PHYSICS_COLLISION_GRAPPLING_HOOK_FORCE_MULTIPLIER,sja.i,4096,4096,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHYSICS_COLLISION_PHANTOM_FORCE_MULTIPLIER,nu.p,2048,2048,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_DETACHMENT_FORCE_MULTIPLIER,wr.o,256,256,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
GRAPPLE_DEBRIS,seb.o,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_GRABBING_RANGE,gs.c,262144,262144,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
DEBRIS_MAX,kva.g,512,512,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
ARMAGEDDON_LENGTH,wkb.a,60,60,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSION_TERRAIN_DEBRIS_PROBABILITY,apb.a,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSION_DEBRIS_DEFAULT_PROBABILITY,qqb.b,10,10,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSION_DEBRIS_VOTING_CHANCESTEP,opb.o,25,25,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_RANDOMNESS,qca.yb,0,0,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_RANDOMNESS,wda.s,0,0,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_PROJECTILES,fd.p,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
LASER_PROJECTILES,kg.o,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_PROJECTILES,la.m,10,10,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
PHASED_ENERGY_BEAM_PROJECTILES,uab.b,1,1,RESOURCE_GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_PROJECTILES,klb.p,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_PROJECTILES,fj.b,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_PROJECTILES,dca.o,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
POINT_DEFENCE_LASER_PROJECTILES,qh.J,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURE_LAUNCHER_PROJECTILES,r.k,1,1,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MASS_DRIVER_PROJECTILE_LIFE,oq.x,2 * l,100,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
TORPEDO_PROJECTILE_LIFE,wob.o,500,500,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
BOMBLET_SPRAY_PROJECTILE_LIFE,gu.p,25,25,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
SNIPER_CANNON_PROJECTILE_LIFE,jt.p,50,50,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
MISSILE_LAUNCHER_PROJECTILE_LIFE,de.q,500,500,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
COUNTERMEASURE_LAUNCHER_PROJECTILE_LIFE,mq.j,100,100,GAMEPLAY_INPUT,EXTRACTED,REQUIRED_INPUT
