opcode	count
aaload	3066
aastore	2669
aconst_null	8319
aload	16113
aload_0	33658
aload_1	9948
aload_2	9559
aload_3	7736
anewarray	1299
areturn	2794
arraylength	1626
astore	5535
astore_0	30
astore_1	1677
astore_2	3495
astore_3	3207
athrow	32795
baload	925
bastore	585
bipush	48917
caload	23
castore	153
checkcast	3805
d2f	51
d2i	106
dadd	57
dcmpg	13
dcmpl	21
dconst_0	20
dconst_1	35
ddiv	58
dload	116
dload_0	4
dload_1	12
dload_2	5
dload_3	10
dmul	168
dneg	8
dreturn	3
dstore	48
dstore_0	2
dstore_1	2
dstore_2	2
dstore_3	2
dsub	10
dup	22079
dup2	281
dup2_x1	3
dup2_x2	1
dup_x1	193
dup_x2	49
f2d	87
f2i	399
fadd	983
faload	499
fastore	1002
fcmpg	163
fcmpl	177
fconst_0	758
fconst_1	379
fconst_2	30
fdiv	322
fload	3295
fload_0	27
fload_1	275
fload_2	270
fload_3	273
fmul	954
fneg	224
frem	2
freturn	25
fstore	1207
fstore_0	1
fstore_1	72
fstore_2	75
fstore_3	85
fsub	435
getfield	28622
getstatic	17983
goto	31428
i2b	281
i2c	24
i2d	162
i2f	957
i2l	380
i2s	49
iadd	11280
iaload	3973
iand	5303
iastore	9715
iconst_0	14965
iconst_1	10076
iconst_2	2957
iconst_3	1545
iconst_4	1293
iconst_5	790
iconst_m1	9899
idiv	2492
if_acmpeq	1539
if_acmpne	1071
if_icmpeq	4639
if_icmpge	2691
if_icmpgt	1279
if_icmple	2584
if_icmplt	1832
if_icmpne	2737
ifeq	8076
ifge	734
ifgt	198
ifle	318
iflt	355
ifne	4744
ifnonnull	883
ifnull	5203
iinc	4297
iinc_w	26
iload	51989
iload_0	5114
iload_1	10905
iload_2	9635
iload_3	6416
imul	4373
ineg	2890
instanceof	131
invokeinterface	344
invokespecial	15640
invokestatic	19064
invokevirtual	63992
ior	1033
irem	599
ireturn	2983
ishl	1141
ishr	2447
istore	19569
istore_0	178
istore_1	540
istore_2	1128
istore_3	1165
isub	5501
iushr	805
ixor	7310
l2f	1
l2i	149
ladd	183
laload	40
land	12
lastore	41
lcmp	189
lconst_0	315
lconst_1	10
ldc	24152
ldc2_w	574
ldc_w	7848
ldiv	24
lload	253
lload_0	27
lload_1	111
lload_2	87
lload_3	79
lmul	63
lneg	68
lor	2
lrem	5
lreturn	34
lshl	30
lshr	55
lstore	107
lstore_0	4
lstore_1	4
lstore_2	19
lstore_3	25
lsub	41
lushr	13
lxor	136
monitorenter	35
monitorexit	95
multianewarray	52
new	12012
newarray	985
pop	1827
pop2	34
putfield	8871
putstatic	7444
return	8323
saload	181
sastore	74
sipush	17936
