caller_class	referenced_field
VoidHunters	B:I
VoidHunters	C:I
VoidHunters	D:I
VoidHunters	E:[I
VoidHunters	F:Lphb;
VoidHunters	G:I
VoidHunters	aeb.a:Z
VoidHunters	aka.p:Z
VoidHunters	ama.o:F
VoidHunters	aqb.f:I
VoidHunters	ar.d:Z
VoidHunters	bg.o:Z
VoidHunters	bm.o:Leab;
VoidHunters	bra.g:Lha;
VoidHunters	bsa.o:Z
VoidHunters	cl.a:[I
VoidHunters	di.l:Lkda;
VoidHunters	dma.g:I
VoidHunters	dma.i:[I
VoidHunters	dma.j:I
VoidHunters	dp.a:Lllb;
VoidHunters	dpa.p:Lfaa;
VoidHunters	dra.n:Lhbb;
VoidHunters	dsb.p:Lngb;
VoidHunters	dua.o:Z
VoidHunters	dv.c:Lij;
VoidHunters	eaa.q:I
VoidHunters	ef.E:Z
VoidHunters	enb.b:Z
VoidHunters	erb.p:Z
VoidHunters	eu.i:Lfcb;
VoidHunters	ew.p:Ldra;
VoidHunters	fa.d:[Lgd;
VoidHunters	fab.e:Lbra;
VoidHunters	ffa.a:I
VoidHunters	fhb.q:Lllb;
VoidHunters	fi.o:Lfdb;
VoidHunters	fva.p:Z
VoidHunters	fwa.g:Lcoa;
VoidHunters	gcb.p:Z
VoidHunters	glb.c:[Ljava/lang/String;
VoidHunters	gwa.o:Z
VoidHunters	hb.c:Z
VoidHunters	hh.o:I
VoidHunters	hj.q:J
VoidHunters	hjb.o:Labb;
VoidHunters	hlb.p:I
VoidHunters	hn.a:I
VoidHunters	hpb.i:Z
VoidHunters	hsa.o:Ljava/lang/String;
VoidHunters	hua.d:I
VoidHunters	idb.o:Z
VoidHunters	igb.a:Ljava/awt/Canvas;
VoidHunters	iia.c:Ljava/lang/String;
VoidHunters	ip.p:Ljava/awt/Dimension;
VoidHunters	java/awt/Dimension.height:I
VoidHunters	java/awt/Dimension.width:I
VoidHunters	jba.b:Lllb;
VoidHunters	jha.p:I
VoidHunters	jj.p:F
VoidHunters	jkb.a:Z
VoidHunters	jmb.p:I
VoidHunters	kda.j:Lova;
VoidHunters	kda.m:Lum;
VoidHunters	kdb.o:I
VoidHunters	kt.l:I
VoidHunters	kua.e:Z
VoidHunters	ldb.o:I
VoidHunters	lgb.o:I
VoidHunters	li.i:Z
VoidHunters	llb.o:I
VoidHunters	lo.a:[Lwf;
VoidHunters	lo.c:[Lphb;
VoidHunters	lqa.o:Lmm;
VoidHunters	lrb.f:Z
VoidHunters	ls.q:Z
VoidHunters	lu.d:Z
VoidHunters	lwa.vb:Ljava/lang/String;
VoidHunters	maa.o:I
VoidHunters	mab.a:LVoidHunters;
VoidHunters	me.r:Z
VoidHunters	mib.k:Z
VoidHunters	mjb.e:Z
VoidHunters	mm.fc:Z
VoidHunters	ms.A:[I
VoidHunters	na.q:I
VoidHunters	ncb.a:[[I
VoidHunters	ndb.a:Luca;
VoidHunters	nhb.p:Z
VoidHunters	nl.n:F
VoidHunters	nna.C:Ldjb;
VoidHunters	noa.q:I
VoidHunters	nv.v:I
VoidHunters	oaa.i:I
VoidHunters	oab.o:I
VoidHunters	og.r:Lha;
VoidHunters	oh.p:I
VoidHunters	oma.f:I
VoidHunters	oma.i:F
VoidHunters	oma.j:I
VoidHunters	oma.k:I
VoidHunters	oma.l:Lmib;
VoidHunters	ow.a:I
VoidHunters	pab.k:[Lkka;
VoidHunters	pab.m:I
VoidHunters	pcb.o:Z
VoidHunters	phb.m:I
VoidHunters	phb.n:I
VoidHunters	phb.p:I
VoidHunters	phb.q:I
VoidHunters	phb.r:[I
VoidHunters	pk.o:I
VoidHunters	pma.o:I
VoidHunters	pob.b:I
VoidHunters	psb.b:Lufb;
VoidHunters	pw.a:I
VoidHunters	qa.o:Lij;
VoidHunters	qaa.a:F
VoidHunters	qcb.o:[[Z
VoidHunters	qga.b:Lfaa;
VoidHunters	qua.b:F
VoidHunters	qw.l:Lllb;
VoidHunters	sbb.o:[[I
VoidHunters	shb.o:[B
VoidHunters	si.o:[Z
VoidHunters	ta.b:[I
VoidHunters	tc.b:[[Z
VoidHunters	tcb.o:I
VoidHunters	tjb.wb:I
VoidHunters	to.q:Ljava/lang/String;
VoidHunters	u:Ljava/lang/String;
VoidHunters	uca.B:I
VoidHunters	uca.N:Z
VoidHunters	uca.m:Loma;
VoidHunters	ufb.a:Z
VoidHunters	ug.o:[Ljava/lang/Object;
VoidHunters	uga.g:Lfdb;
VoidHunters	ul.a:I
VoidHunters	uob.e:Z
VoidHunters	uu.b:Ljava/awt/Canvas;
VoidHunters	vfa.b:Z
VoidHunters	vfa.i:I
VoidHunters	vga.b:I
VoidHunters	vnb.p:I
VoidHunters	vq.x:Lfab;
VoidHunters	vqa.g:Luca;
VoidHunters	vu.Db:I
VoidHunters	wba.o:[I
VoidHunters	wca.b:Ldla;
VoidHunters	wgb.f:I
VoidHunters	wh.n:I
VoidHunters	wna.e:Z
VoidHunters	wp.a:I
